timestamp,ear,mar,p_drowsy,state
2025-11-24 07:04:06,0.218,0.000,0.91,fatigue_level_2
2025-11-24 07:04:06,0.218,0.098,0.93,fatigue_level_2
2025-11-24 07:04:07,0.218,0.000,0.92,fatigue_level_2
2025-11-24 07:09:30,0.179,0.085,0.99,fatigue_level_2
2025-11-24 07:09:31,0.219,0.021,0.92,fatigue_level_2
2025-11-24 07:09:31,0.220,0.152,0.93,fatigue_level_2
2025-11-24 07:09:33,0.210,0.021,0.95,fatigue_level_2
2025-11-24 07:09:33,0.216,0.108,0.94,fatigue_level_2
2025-11-24 07:09:33,0.204,0.149,0.97,fatigue_level_2
2025-11-24 07:09:33,0.199,0.049,0.98,fatigue_level_2
2025-11-24 07:09:34,0.204,0.000,0.96,fatigue_level_2
2025-11-24 07:09:34,0.214,0.042,0.94,fatigue_level_2
2025-11-24 07:09:34,0.219,0.191,0.93,fatigue_level_2
2025-11-24 07:09:34,0.211,0.083,0.95,fatigue_level_2
2025-11-24 07:09:34,0.210,0.204,0.97,fatigue_level_2
2025-11-24 07:09:34,0.216,0.022,0.93,fatigue_level_2
2025-11-24 07:09:37,0.209,0.000,0.95,fatigue_level_2
2025-11-24 07:09:44,0.214,0.020,0.93,fatigue_level_2
2025-11-24 07:09:47,0.025,0.089,1.00,fatigue_level_2
2025-11-24 07:10:38,0.207,0.000,0.96,fatigue_level_2
2025-11-24 07:10:44,0.194,0.000,0.98,fatigue_level_2
2025-11-24 07:10:44,0.179,0.026,0.99,fatigue_level_2
2025-11-24 07:12:58,0.055,0.900,1.00,fatigue_level_3
2025-11-24 07:12:59,0.066,0.911,1.00,fatigue_level_3
2025-11-24 07:12:59,0.089,0.915,1.00,fatigue_level_3
2025-11-24 07:13:02,0.114,0.912,1.00,fatigue_level_3
2025-11-24 07:13:03,0.091,1.001,1.00,fatigue_level_3
2025-11-24 07:13:03,0.056,0.884,1.00,fatigue_level_3
2025-11-24 07:13:03,0.083,0.926,1.00,fatigue_level_3
2025-11-24 07:13:04,0.096,0.884,1.00,fatigue_level_3
2025-11-24 07:13:06,0.099,0.945,1.00,fatigue_level_3
2025-11-24 07:13:07,0.042,0.891,1.00,fatigue_level_3
2025-11-24 07:13:07,0.086,0.885,1.00,fatigue_level_3
2025-11-24 07:13:07,0.069,0.932,1.00,fatigue_level_3
2025-11-24 07:13:07,0.020,0.884,1.00,fatigue_level_3
2025-11-24 07:13:08,0.030,0.926,1.00,fatigue_level_3
2025-11-24 07:13:08,0.055,0.944,1.00,fatigue_level_3
2025-11-24 07:13:08,0.065,0.928,1.00,fatigue_level_3
2025-11-24 07:13:09,0.041,0.903,1.00,fatigue_level_3
2025-11-24 07:13:09,0.059,0.904,1.00,fatigue_level_3
2025-11-24 07:13:09,0.060,0.941,1.00,fatigue_level_3
2025-11-24 07:13:10,0.128,1.209,1.00,fatigue_level_3
2025-11-24 07:13:10,0.105,1.147,1.00,fatigue_level_3
2025-11-24 07:13:19,0.045,0.759,1.00,fatigue_level_3
2025-11-24 07:13:23,0.112,0.362,1.00,fatigue_level_3
2025-11-24 07:13:24,0.146,0.235,1.00,fatigue_level_3
2025-11-24 07:13:24,0.116,0.080,1.00,fatigue_level_3
2025-11-24 07:13:24,0.145,0.000,1.00,fatigue_level_3
2025-11-24 07:13:24,0.140,0.000,1.00,fatigue_level_3
2025-11-24 07:13:24,0.126,0.000,1.00,fatigue_level_3
2025-11-24 07:13:25,0.132,0.027,1.00,fatigue_level_3
2025-11-24 07:13:26,0.140,0.000,1.00,fatigue_level_3
2025-11-24 07:13:26,0.118,0.000,1.00,fatigue_level_3
2025-11-24 07:13:26,0.132,0.000,1.00,fatigue_level_3
2025-11-24 07:13:28,0.106,0.020,1.00,fatigue_level_3
2025-11-24 07:13:30,0.144,0.000,1.00,fatigue_level_3
2025-11-24 07:13:31,0.057,0.000,1.00,fatigue_level_3
2025-11-24 07:13:32,0.053,0.214,1.00,fatigue_level_3
2025-11-24 07:13:33,0.061,0.000,1.00,fatigue_level_3
2025-11-24 07:13:34,0.115,0.064,1.00,fatigue_level_3
2025-11-24 07:13:34,0.147,0.021,1.00,fatigue_level_3
2025-11-24 07:13:34,0.075,0.022,1.00,fatigue_level_3
2025-11-24 07:13:36,0.138,0.000,1.00,fatigue_level_3
2025-11-24 07:22:13,0.184,0.920,1.00,fatigue_level_3
2025-11-24 07:22:13,0.141,0.696,1.00,fatigue_level_3
2025-11-24 07:22:13,0.135,0.775,1.00,fatigue_level_3
2025-11-24 07:22:13,0.129,0.683,1.00,fatigue_level_3
2025-11-24 07:22:14,0.142,0.815,1.00,fatigue_level_3
2025-11-24 07:22:14,0.146,0.852,1.00,fatigue_level_3
2025-11-24 07:22:14,0.181,0.906,1.00,fatigue_level_3
2025-11-24 07:22:14,0.138,0.827,1.00,fatigue_level_3
2025-11-24 07:22:14,0.136,0.884,1.00,fatigue_level_3
2025-11-24 07:22:16,0.121,0.652,1.00,fatigue_level_3
2025-11-24 07:22:16,0.134,0.817,1.00,fatigue_level_3
2025-11-24 07:22:17,0.127,0.829,1.00,fatigue_level_3
2025-11-24 07:22:17,0.184,0.910,1.00,fatigue_level_3
2025-11-24 07:22:17,0.128,0.742,1.00,fatigue_level_3
2025-11-24 07:22:42,0.037,0.022,1.00,fatigue_level_3
2025-11-24 07:22:43,0.115,0.021,1.00,fatigue_level_3
2025-11-24 07:22:44,0.129,0.021,1.00,fatigue_level_3
2025-11-24 07:22:44,0.134,0.022,1.00,fatigue_level_3
2025-11-24 07:22:50,0.144,0.000,1.00,fatigue_level_3
2025-11-24 07:22:51,0.132,0.000,1.00,fatigue_level_3
2025-11-24 07:22:51,0.146,0.500,1.00,fatigue_level_3
2025-11-24 07:22:52,0.109,0.565,1.00,fatigue_level_3
2025-11-24 07:22:52,0.132,0.168,1.00,fatigue_level_3
2025-11-24 07:22:52,0.134,0.062,1.00,fatigue_level_3
2025-11-24 07:22:52,0.144,0.020,1.00,fatigue_level_3
2025-11-24 07:22:53,0.144,0.000,1.00,fatigue_level_3
2025-11-24 07:22:53,0.144,0.021,1.00,fatigue_level_3
2025-11-24 07:22:53,0.140,0.020,1.00,fatigue_level_3
2025-11-24 07:22:54,0.149,0.000,1.00,fatigue_level_3
2025-11-24 07:22:55,0.014,0.000,1.00,fatigue_level_3
2025-11-24 07:22:57,0.034,0.020,1.00,fatigue_level_3
2025-11-24 07:23:08,0.116,0.000,1.00,fatigue_level_3
2025-11-24 07:23:08,0.114,0.000,1.00,fatigue_level_3
2025-11-24 07:23:08,0.148,0.243,1.00,fatigue_level_3
2025-11-24 07:23:08,0.146,0.108,1.00,fatigue_level_3
2025-11-24 07:23:08,0.138,0.020,1.00,fatigue_level_3
2025-11-24 07:23:09,0.110,0.000,1.00,fatigue_level_3
2025-11-24 07:23:09,0.131,0.021,1.00,fatigue_level_3
2025-11-24 07:23:09,0.135,0.021,1.00,fatigue_level_3
2025-11-24 07:23:09,0.120,0.020,1.00,fatigue_level_3
2025-11-24 07:23:10,0.142,0.020,1.00,fatigue_level_3
2025-11-24 07:23:10,0.147,0.063,1.00,fatigue_level_3
2025-11-24 07:23:10,0.124,0.029,1.00,fatigue_level_3
2025-11-24 07:23:12,0.129,0.046,1.00,fatigue_level_3
2025-11-24 07:23:32,0.193,0.904,1.00,fatigue_level_3
2025-11-24 07:29:22,0.190,0.045,0.99,fatigue_level_3
2025-11-24 07:29:28,0.128,0.020,1.00,fatigue_level_4
